                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3966,                 0.7252,                0.95272,                 0.9631,                0.95914,                 0.9787,                0.60509,                 1.3949,                0.65048,                0.92683,                0.00307,                0.00307,                0.00307
                     37,                   1.39,                0.70772,                0.94859,                0.96293,                0.96096,                 0.9799,                0.60958,                 1.3942,                0.64008,                0.92654,               0.002872,               0.002872,               0.002872
                     38,                 1.3802,                0.70635,                0.94991,                0.96188,                0.95787,                0.97987,                0.60849,                 1.3964,                0.63912,                0.92654,               0.002674,               0.002674,               0.002674
                     39,                 1.3794,                0.70212,                0.94783,                0.96062,                0.96134,                0.97943,                 0.6079,                 1.3939,                0.63984,                0.92645,               0.002476,               0.002476,               0.002476
                     40,                 1.3819,                0.70087,                0.94895,                0.96228,                0.96277,                0.98112,                0.60976,                 1.3899,                0.63627,                0.92437,               0.002278,               0.002278,               0.002278
                     41,                 1.3576,                 0.6733,                 0.9636,                0.96374,                0.96382,                0.98189,                0.61062,                 1.3833,                0.63803,                0.92413,                0.00208,                0.00208,                0.00208
                     42,                 1.3413,                0.65444,                0.95689,                0.96421,                0.96301,                 0.9815,                0.61282,                 1.3814,                0.63265,                0.92449,               0.001882,               0.001882,               0.001882
                     43,                 1.3373,                0.64007,                0.95721,                0.96747,                0.96301,                0.98179,                0.61302,                 1.3821,                 0.6276,                 0.9234,               0.001684,               0.001684,               0.001684
                     44,                 1.3276,                0.62993,                0.95402,                0.96749,                0.96419,                 0.9825,                0.61599,                 1.3782,                0.62668,                0.92207,               0.001486,               0.001486,               0.001486
                     45,                 1.3254,                0.61875,                0.95186,                0.96875,                0.96301,                0.98308,                0.61806,                 1.3778,                0.62314,                0.92267,               0.001288,               0.001288,               0.001288
                     46,                 1.3188,                0.61528,                0.95112,                0.96538,                0.96518,                0.98334,                0.61883,                 1.3778,                 0.6198,                0.92318,                0.00109,                0.00109,                0.00109
                     47,                 1.3138,                0.61018,                0.94755,                 0.9673,                0.96567,                0.98359,                 0.6199,                 1.3762,                0.61764,                0.92245,               0.000892,               0.000892,               0.000892
                     48,                 1.3032,                0.60144,                0.94428,                0.96895,                0.96494,                0.98416,                0.62296,                 1.3742,                0.61465,                0.92212,               0.000694,               0.000694,               0.000694
                     49,                 1.3026,                0.59657,                0.94594,                0.97034,                 0.9651,                0.98469,                0.62368,                 1.3733,                0.61094,                 0.9221,               0.000496,               0.000496,               0.000496
                     50,                 1.2981,                0.59137,                 0.9403,                0.96678,                0.96397,                0.98452,                  0.623,                 1.3721,                0.61026,                0.92154,               0.000298,               0.000298,               0.000298
